room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay
Entire home/apt,NORTHWEST,VARSITY,5,4.5,4,1,53,3
Private room,CENTRE,TUXEDO PARK,39,5,2,1,30,1
Entire home/apt,NORTHWEST,ARBOUR LAKE,0,,8,4,312,5
Entire home/apt,CENTRE,CHINATOWN,0,,1,1,38,1
Private room,SOUTH,PUMP HILL,4,3.5,8,1,60,1
Entire home/apt,CENTRE,BANKVIEW,7,4.5,2,1,55,1
Entire home/apt,CENTRE,LOWER MOUNT ROYAL,19,5,2,1,66,2
Entire home/apt,CENTRE,EAU CLAIRE,0,,4,2,160,
Entire home/apt,NORTHWEST,ARBOUR LAKE,10,5,10,3,265,1
Entire home/apt,CENTRE,BELTLINE,1,,3,1,78,7
Entire home/apt,CENTRE,BELTLINE,1,,3,1,104,1
Entire home/apt,CENTRE,BELTLINE,13,5,2,1,119,2
Entire home/apt,CENTRE,DOWNTOWN WEST END,6,5,4,2,116,2
Private room,CENTRE,WEST HILLHURST,7,5,2,1,40,1
Entire home/apt,NORTHWEST,EDGEMONT,0,,6,1,96,1
Entire home/apt,CENTRE,CAPITOL HILL,3,4.5,4,3,78,2
Entire home/apt,CENTRE,RAMSAY,4,5,2,1,64,1
Entire home/apt,CENTRE,MISSION,57,4.5,4,1,78,1
Private room,CENTRE,BELTLINE,3,4.5,2,1,56,1
Private room,SOUTHEAST,AUBURN BAY,0,,2,1,24,2
Entire home/apt,CENTRE,RAMSAY,82,5,4,2,60,2
Entire home/apt,SOUTHEAST,OGDEN,1,,4,2,40,2
Entire home/apt,CENTRE,BELTLINE,0,,4,1,361,1
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,0,,2,1,47,7
Entire home/apt,CENTRE,SUNALTA,0,,2,1,55,20
Private room,CENTRE,INGLEWOOD,9,5,2,1,40,1
Private room,CENTRE,KILLARNEY/GLENGARRY,1,,2,1,63,2
Entire home/apt,CENTRE,ST. ANDREWS HEIGHTS,1,,4,2,96,2
Entire home/apt,SOUTH,BRIDLEWOOD,13,4,4,2,30,2
Private room,WEST,RUTLAND PARK,0,,2,1,29,1
Private room,NORTH,BEDDINGTON HEIGHTS,0,,2,1,68,1
Entire home/apt,CENTRE,BELTLINE,4,5,3,1,53,4
Private room,SOUTHEAST,NEW BRIGHTON,0,,2,1,121,1
Entire home/apt,NORTH,SAGE HILL,3,4.5,6,3,71,3
Entire home/apt,CENTRE,BANFF TRAIL,60,5,8,3,129,2
Private room,CENTRE,BELTLINE,8,4.5,2,1,34,1
Entire home/apt,CENTRE,MISSION,22,4.5,3,0,44,1
Private room,CENTRE,SUNNYSIDE,6,5,2,1,56,1
Private room,CENTRE,BANFF TRAIL,1,,1,1,28,1
Entire home/apt,SOUTHEAST,MAHOGANY,3,5,4,1,55,3
Private room,NORTHWEST,TUSCANY,28,4.5,2,1,20,1
Private room,NORTHWEST,CITADEL,0,,2,1,44,7
Entire home/apt,WEST,GLENDALE,0,,6,3,80,1
Private room,EAST,FOREST LAWN,21,4.5,2,1,39,1
Entire home/apt,CENTRE,TUXEDO PARK,18,5,2,1,57,1
Entire home/apt,CENTRE,HILLHURST,0,,3,1,100,3
Private room,SOUTH,OAKRIDGE,9,5,2,1,24,1
Entire home/apt,CENTRE,BELTLINE,9,4.5,4,1,89,2
Private room,NORTH,BEDDINGTON HEIGHTS,0,,1,1,160,1
Private room,CENTRE,SUNALTA,235,4.5,2,1,31,1
Private room,SOUTH,ACADIA,1,,3,1,33,1
Private room,CENTRE,DOWNTOWN COMMERCIAL CORE,1,,2,1,65,1
Private room,NORTHWEST,SCENIC ACRES,6,4,1,1,20,1
Entire home/apt,CENTRE,BELTLINE,4,4,2,0,105,2
Private room,NORTHWEST,MONTGOMERY,23,5,2,1,39,
Entire home/apt,WEST,WEST SPRINGS,1,,4,2,71,4
Entire home/apt,CENTRE,CRESCENT HEIGHTS,0,,2,1,121,2
Entire home/apt,CENTRE,CRESCENT HEIGHTS,4,5,3,1,68,7
Entire home/apt,NORTHWEST,RANCHLANDS,1,,2,1,36,1
Private room,CENTRE,EAU CLAIRE,0,,2,1,121,1
Private room,CENTRE,MISSION,4,5,2,1,80,1
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,3,4.5,4,2,160,2
Private room,CENTRE,BELTLINE,3,5,2,1,40,2
